SCI;NO;EN
Ploceus superciliosus;kompaktvever;Compact Weaver
Ploceus benghalensis;bengalvever;Black-breasted Weaver
Ploceus manyar;stripevever;Streaked Weaver
Ploceus philippinus;bayavever;Baya Weaver
Ploceus megarhynchus;teraivever;Finn's Weaver
Ploceus bicolor;skogvever;Dark-backed Weaver
Ploceus preussi;jungelvever;Preuss's Weaver
Ploceus dorsomaculatus;flekkryggvever;Yellow-capped Weaver
Ploceus olivaceiceps;miombovever;Olive-headed Weaver
Ploceus nicolli;usambaravever;Usambara Weaver
Ploceus insignis;brunkronevever;Brown-capped Weaver
Ploceus angolensis;båndvingevever;Bar-winged Weaver
Ploceus sanctithomae;saotomevever;Sao Tome Weaver
Ploceus flavipes;gulbeinvever;Yellow-legged Weaver
Malimbus coronatus;rødkronevever;Red-crowned Malimbe
Malimbus cassini;kongovever;Cassin's Malimbe
Malimbus racheliae;gulbrystvever;Rachel's Malimbe
Malimbus ballmanni;liberiavever;Gola Malimbe
Malimbus scutatus;rødgumpvever;Red-vented Malimbe
Malimbus ibadanensis;ibadanvever;Ibadan Malimbe
Malimbus nitens;rødbrystvever;Blue-billed Malimbe
Malimbus rubricollis;rødnakkevever;Red-headed Malimbe
Malimbus erythrogaster;rødbukvever;Red-bellied Malimbe
Malimbus malimbicus;toppvever;Crested Malimbe
Anaplectes rubriceps;rødhodevever;Red-headed Weaver
Anaplectes jubaensis;skarlagenvever;Red Weaver
Quelea cardinalis;kardinalvever;Cardinal Quelea
Quelea erythrops;rødhettevever;Red-headed Quelea
Quelea quelea;blodnebbvever;Red-billed Quelea
Foudia madagascariensis;rødvever;Red Fody
Foudia eminentissima;komorvever;Comoro Fody
Foudia aldabrana;aldabravever;Aldabra Fody
Foudia omissa;tanalavever;Forest Fody
Foudia rubra;mauritiusvever;Mauritius Fody
Foudia sechellarum;seychellvever;Seychelles Fody
Foudia flavicans;rodriguesvever;Rodrigues Fody
Brachycope anomala;kortstjertvever;Bob-tailed Weaver
Euplectes afer;gulkronebisp;Yellow-crowned Bishop
Euplectes diadematus;diadembisp;Fire-fronted Bishop
Euplectes gierowii;ildkragebisp;Black Bishop
Euplectes nigroventris;svartbrystbisp;Zanzibar Red Bishop
Euplectes hordeaceus;svartvingebisp;Black-winged Red Bishop
Euplectes orix;rødbisp;Southern Red Bishop
Euplectes franciscanus;svarthettebisp;Northern Red Bishop
Euplectes aureus;gullryggbisp;Golden-backed Bishop
Euplectes capensis;gulgumpbisp;Yellow Bishop
Euplectes axillaris;rødvingevever;Fan-tailed Widowbird
Euplectes macroura;gulkappevever;Yellow-mantled Widowbird
Euplectes hartlaubi;myrvever;Marsh Widowbird
Euplectes psammacromius;svansvever;Montane Widowbird
Euplectes albonotatus;hvitvingevever;White-winged Widowbird
Euplectes ardens;rødsmykkevever;Red-collared Widowbird
Euplectes laticauda;kysevever;Red-cowled Widowbird
Euplectes progne;dragevever;Long-tailed Widowbird
Euplectes jacksoni;heksevever;Jackson's Widowbird
Heteromunia pectoralis;paljettnonne;Pictorella Mannikin
Oreostruthus fuliginosus;sjokoladeastrild;Mountain Firetail
Stagonopleura guttata;diamantastrild;Diamond Firetail
Stagonopleura oculata;rødøreastrild;Red-eared Firetail
Stagonopleura bella;bandittastrild;Beautiful Firetail
Neochmia phaeton;solastrild;Crimson Finch
Neochmia temporalis;rødbrynastrild;Red-browed Finch
Emblema pictum;mosaikkastrild;Painted Finch
Bathilda ruficauda;sivastrild;Star Finch
Aidemosyne modesta;ceresastrild;Plum-headed Finch
Stizoptera bichenovii;ringastrild;Double-barred Finch
Taeniopygia guttata;sundaastrild;Sunda Zebra Finch
Taeniopygia castanotis;sebraastrild;Australian Zebra Finch
Poephila personata;maskeastrild;Masked Finch
Poephila acuticauda;spisstjertastrild;Long-tailed Finch
Poephila cincta;belteastrild;Black-throated Finch
Spermestes griseicapilla;gråhodesølvnebb;Grey-headed Silverbill
Spermestes cucullata;bronsemannikin;Bronze Mannikin
Spermestes fringilloides;finkemannikin;Magpie Mannikin
Spermestes bicolor;svarthodemannikin;Black-and-white Mannikin
Lepidopygia nana;gassermannikin;Madagascar Mannikin
Euodice cantans;savannesølvnebb;African Silverbill
Euodice malabarica;indiasølvnebb;Indian Silverbill
Padda oryzivora;javarisfugl;Java Sparrow
Padda fuscata;timorrisfugl;Timor Sparrow
Mayrimunia tristissima;sørgenonne;Streak-headed Mannikin
Mayrimunia leucosticta;perlenonne;White-spotted Mannikin
Lonchura punctulata;muskatnonne;Scaly-breasted Munia
Lonchura kelaarti;masurnonne;Black-throated Munia
Lonchura molucca;molukknonne;Black-faced Munia
Lonchura striata;hvitgumpnonne;White-rumped Munia
Lonchura fuscans;kullnonne;Dusky Munia
Lonchura leucogastra;hvitbuknonne;White-bellied Munia
Lonchura leucogastroides;javanonne;Javan Munia
Lonchura malacca;svarthodenonne;Tricolored Munia
Lonchura atricapilla;kastanjenonne;Chestnut Munia
Lonchura ferruginosa;smekkenonne;White-capped Munia
Lonchura maja;hvithodenonne;White-headed Munia
Lonchura pallida;bleknonne;Pale-headed Munia
Lonchura grandis;stornebbnonne;Great-billed Mannikin
Lonchura teerinki;svartbrystnonne;Black-breasted Mannikin
Lonchura montana;fjellnonne;Western Alpine Mannikin
Lonchura monticola;bergnonne;Eastern Alpine Mannikin
Lonchura vana;gråbeltenonne;Grey-banded Mannikin
Lonchura nevermanni;svartstrupenonne;Grey-crowned Mannikin
Lonchura caniceps;gråhodenonne;Grey-headed Mannikin
Lonchura spectabilis;hettenonne;Hooded Mannikin
Lonchura forbesi;kanelnonne;Forbes's Mannikin
Lonchura hunsteini;ildstjertnonne;Mottled Mannikin
Lonchura nigerrima;sotnonne;New Hanover Mannikin
Lonchura flaviprymna;gyllennonne;Yellow-rumped Mannikin
Lonchura quinticolor;brunhodenonne;Five-colored Munia
Lonchura castaneothorax;sivnonne;Chestnut-breasted Mannikin
Lonchura stygia;satengnonne;Black Mannikin
Lonchura melaena;tykknebbnonne;Buff-bellied Mannikin
Chloebia gouldiae;gouldamadin;Gouldian Finch
Erythrura prasina;nålstjertamadin;Pin-tailed Parrotfinch
Erythrura viridifacies;grønnamadin;Green-faced Parrotfinch
Erythrura hyperythra;grønnstjertamadin;Tawny-breasted Parrotfinch
Erythrura psittacea;papegøyeamadin;Red-throated Parrotfinch
Erythrura pealii;fijiamadin;Fiji Parrotfinch
Erythrura regia;kongeamadin;Royal Parrotfinch
Erythrura cyaneovirens;rødhetteamadin;Red-headed Parrotfinch
Erythrura kleinschmidti;rosennebbamadin;Pink-billed Parrotfinch
Erythrura tricolor;timoramadin;Tricolored Parrotfinch
Erythrura coloria;rødøreamadin;Red-eared Parrotfinch
Erythrura papuana;papuaamadin;Papuan Parrotfinch
Erythrura trichroa;trefargeamadin;Blue-faced Parrotfinch
Nesocharis shelleyi;svarthodeastrild;Shelley's Oliveback
Nesocharis ansorgei;halsbåndastrild;White-collared Oliveback
Coccopygia quartinia;gulbukastrild;Yellow-bellied Waxbill
Coccopygia bocagei;angolaastrild;Angola Waxbill
Coccopygia melanotis;krattastrild;Swee Waxbill
Mandingoa nitidula;grønnastrild;Green Twinspot
Cryptospiza shelleyi;edelastrild;Shelley's Crimsonwing
Cryptospiza jacksoni;blodflekkastrild;Dusky Crimsonwing
Cryptospiza salvadorii;bergastrild;Abyssinian Crimsonwing
Cryptospiza reichenovii;brilleastrild;Red-faced Crimsonwing
Parmoptila rubrifrons;rødpanneastrild;Red-fronted Antpecker
Parmoptila woodhousei;rustmaskeastrid;Woodhouse's Antpecker
Parmoptila jamesoni;rødbrystastrild;Jameson's Antpecker
Nigrita fusconotus;hvitbrystastrild;White-breasted Nigrita
Nigrita bicolor;kastanjeastrild;Chestnut-breasted Nigrita
Nigrita canicapillus;gråkappeastrild;Grey-headed Nigrita
Nigrita luteifrons;gulpanneastrild;Pale-fronted Nigrita
Delacourella capistrata;meiseastrild;Grey-headed Oliveback
Brunhilda charmosyna;savanneastrild;Black-cheeked Waxbill
Brunhilda erythronotos;alveastrild;Black-faced Waxbill
Glaucestrilda caerulescens;rødstjertastrild;Lavender Waxbill
Glaucestrilda perreini;svartstjertastrild;Grey Waxbill
Glaucestrilda thomensis;askepottastrild;Cinderella Waxbill
Estrilda nonnula;nonneastrild;Black-crowned Waxbill
Estrilda atricapilla;svarthetteastrild;Black-headed Waxbill
Estrilda kandti;hvitkinnastrild;Kandt's Waxbill
Estrilda melpoda;oransjekinnastrild;Orange-cheeked Waxbill
Estrilda poliopareia;stråastrild;Anambra Waxbill
Estrilda paludicola;sumpastrild;Fawn-breasted Waxbill
Estrilda astrild;vatreastrild;Common Waxbill
Estrilda nigriloris;lualabaastrild;Black-lored Waxbill
Estrilda troglodytes;gråastrild;Black-rumped Waxbill
Estrilda rhodopyga;rødgumpastrild;Crimson-rumped Waxbill
Estrilda rufibarba;jemenastrild;Arabian Waxbill
Ortygospiza atricollis;gressastrild;Quailfinch
Paludipasser locustella;gresshoppeastrild;Locust Finch
Amadina fasciata;blodstrupeamadin;Cut-throat Finch
Amadina erythrocephala;rødhodeamadin;Red-headed Finch
Amandava formosa;gitterastrild;Green Avadavat
Amandava subflava;gulbrystastrild;Orange-breasted Waxbill
Amandava amandava;tigerastrild;Red Avadavat
Granatina ianthinogaster;purpurastrild;Purple Grenadier
Granatina granatina;granatastrild;Violet-eared Waxbill
Uraeginthus angolensis;blåastrild;Blue Waxbill
Uraeginthus bengalus;rødkinnastrild;Red-cheeked Cordon-bleu
Uraeginthus cyanocephalus;blåhodeastrild;Blue-capped Cordon-bleu
Spermophaga poliogenys;rødbrynjeastrild;Grant's Bluebill
Spermophaga haematina;blånebbastrild;Western Bluebill
Spermophaga ruficapilla;rødhodeastrild;Red-headed Bluebill
Pyrenestes minor;umbraastrild;Lesser Seedcracker
Pyrenestes sanguineus;karminastrild;Crimson Seedcracker
Pyrenestes ostrinus;svartbukastrild;Black-bellied Seedcracker
Pytilia melba;grønnvingeastrild;Green-winged Pytilia
Pytilia afra;oransjevingeastrild;Orange-winged Pytilia
Pytilia phoenicoptera;auroraastrild;Red-winged Pytilia
Pytilia lineata;stripeastrild;Red-billed Pytilia
Pytilia hypogrammica;rødmaskeastrild;Yellow-winged Pytilia
Euschistospiza dybowskii;rødryggastrild;Dybowski's Twinspot
Euschistospiza cinereovinacea;sotastrild;Dusky Twinspot
Hypargos niveoguttatus;dråpeastrild;Red-throated Twinspot
Hypargos margaritatus;rosenastrild;Pink-throated Twinspot
Clytospiza monteiri;kniplingsastrild;Brown Twinspot
Lagonosticta senegala;rødnebbamarant;Red-billed Firefinch
Lagonosticta rubricata;rødbrystamarant;African Firefinch
Lagonosticta rhodopareia;skarlagenamarant;Jameson's Firefinch
Lagonosticta virata;maliamarant;Mali Firefinch
Lagonosticta sanguinodorsalis;steinamarant;Rock Firefinch
Lagonosticta umbrinodorsalis;umbraamarant;Chad Firefinch
Lagonosticta rara;svartbukamarant;Black-bellied Firefinch
Lagonosticta rufopicta;rosenamarant;Bar-breasted Firefinch
Lagonosticta nitidula;brunamarant;Brown Firefinch
Lagonosticta larvata;maskeamarant;Black-faced Firefinch
Vidua chalybeata;landsbyenke;Village Indigobird
Vidua purpurascens;purpurglansenke;Purple Indigobird
Vidua raricola;grønnglansenke;Jambandu Indigobird
Vidua larvaticola;hausaenke;Barka Indigobird
Vidua funerea;sørgeenke;Dusky Indigobird
Vidua codringtoni;svartvingeenke;Zambezi Indigobird
Vidua wilsoni;savanneenke;Wilson's Indigobird
Vidua nigeriae;vaktelastrildenke;Quailfinch Indigobird
Vidua maryae;josenke;Jos Plateau Indigobird
Vidua camerunensis;guineaenke;Cameroon Indigobird
Vidua macroura;dominikanerenke;Pin-tailed Whydah
Vidua hypocherina;stålenke;Steel-blue Whydah
Vidua fischeri;stråstjertenke;Straw-tailed Whydah
Vidua regia;vimpelenke;Shaft-tailed Whydah
Vidua paradisaea;paradisenke;Long-tailed Paradise Whydah
Vidua orientalis;storstjertenke;Sahel Paradise Whydah
Vidua interjecta;langstjertenke;Exclamatory Paradise Whydah
Vidua togoensis;drageenke;Togo Paradise Whydah
Vidua obtusa;bredstjertenke;Broad-tailed Paradise Whydah
Anomalospiza imberbis;gjøkvever;Cuckoo-finch
Peucedramus taeniatus;kløftstjertparula;Olive Warbler
Prunella collaris;alpejernspurv;Alpine Accentor
Prunella himalayana;altaijernspurv;Altai Accentor
Prunella rubeculoides;tibetjernspurv;Robin Accentor
Prunella strophiata;rustbrystjernspurv;Rufous-breasted Accentor
Prunella montanella;sibirjernspurv;Siberian Accentor
Prunella fulvescens;hvitbrynjernspurv;Brown Accentor
Prunella ocularis;einerjernspurv;Radde's Accentor
Prunella atrogularis;svartstrupejernspurv;Black-throated Accentor
Prunella koslowi;mongoljernspurv;Kozlov's Accentor
Prunella modularis;jernspurv;Dunnock
Prunella rubida;japanjernspurv;Japanese Accentor
Prunella immaculata;kaneljernspurv;Maroon-backed Accentor
Dendronanthus indicus;skogerle;Forest Wagtail
Motacilla flava;gulerle;Western Yellow Wagtail
Motacilla tschutschensis;østgulerle;Eastern Yellow Wagtail
Motacilla citreola;sitronerle;Citrine Wagtail
Motacilla capensis;askeerle;Cape Wagtail
Motacilla flaviventris;gulbukerle;Madagascar Wagtail
Motacilla bocagii;kortstjert;Sao Tome Shorttail
Motacilla cinerea;vintererle;Grey Wagtail
Motacilla clara;bergerle;Mountain Wagtail
Motacilla alba;linerle;White Wagtail
Motacilla aguimp;afrikaerle;African Pied Wagtail
Motacilla samveasnae;mekongerle;Mekong Wagtail
Motacilla grandis;japanerle;Japanese Wagtail
Motacilla maderaspatensis;skjæreerle;White-browed Wagtail
Tmetothylacus tenellus;gullpiplerke;Golden Pipit
Macronyx sharpei;kikuyupiplerke;Sharpe's Longclaw
Macronyx flavicollis;etiopiapiplerke;Abyssinian Longclaw
Macronyx fuelleborni;svovelpiplerke;Fülleborn's Longclaw
Macronyx capensis;ildpiplerke;Cape Longclaw
Macronyx croceus;gulstrupepiplerke;Yellow-throated Longclaw
Macronyx aurantiigula;tornpiplerke;Pangani Longclaw
Macronyx ameliae;skarlagenpiplerke;Rosy-throated Longclaw
Macronyx grimwoodi;angolapiplerke;Grimwood's Longclaw
Anthus richardi;tartarpiplerke;Richard's Pipit
Anthus rufulus;orientpiplerke;Paddyfield Pipit
Anthus australis;australiapiplerke;Australian Pipit
Anthus novaeseelandiae;newzealandpiplerke;New Zealand Pipit
Anthus cinnamomeus;savannepiplerke;African Pipit
Anthus hoeschi;fjellpiplerke;Mountain Pipit
Anthus godlewskii;mongolpiplerke;Blyth's Pipit
Anthus campestris;markpiplerke;Tawny Pipit
Anthus similis;langnebbpiplerke;Long-billed Pipit
Anthus nicholsoni;kappiplerke;Nicholson's Pipit
Anthus nyassae;miombopiplerke;Wood Pipit
Anthus vaalensis;slettepiplerke;Buffy Pipit
Anthus leucophrys;brannpiplerke;Plain-backed Pipit
Anthus pallidiventris;kongopiplerke;Long-legged Pipit
Anthus pratensis;heipiplerke;Meadow Pipit
Anthus trivialis;trepiplerke;Tree Pipit
Anthus hodgsoni;sibirpiplerke;Olive-backed Pipit
Anthus gustavi;tundrapiplerke;Pechora Pipit
Anthus roseatus;rosenpiplerke;Rosy Pipit
Anthus cervinus;lappiplerke;Red-throated Pipit
Anthus japonicus;amurpiplerke;Siberian Pipit
Anthus rubescens;kanadapiplerke;American Pipit
Anthus spinoletta;vannpiplerke;Water Pipit
Anthus petrosus;skjærpiplerke;European Rock Pipit
Anthus nilghiriensis;nilgiripiplerke;Nilgiri Pipit
Anthus sylvanus;bergpiplerke;Upland Pipit
Anthus berthelotii;kanaripiplerke;Berthelot's Pipit
Anthus lineiventris;stripepiplerke;Striped Pipit
Anthus crenatus;steinpiplerke;African Rock Pipit
Anthus brachyurus;kortstjertpiplerke;Short-tailed Pipit
Anthus caffer;buskpiplerke;Bushveld Pipit
Anthus sokokensis;sokokepiplerke;Sokoke Pipit
Anthus melindae;malindipiplerke;Malindi Pipit
Anthus chloris;sitronpiplerke;Yellow-breasted Pipit
Anthus gutturalis;papuapiplerke;Alpine Pipit
Anthus ruficollis;madanga;Madanga
Anthus spragueii;præriepiplerke;Sprague's Pipit
Anthus chii;gresspiplerke;Yellowish Pipit
Anthus peruvianus;perupiplerke;Peruvian Pipit
Anthus furcatus;argentinapiplerke;Short-billed Pipit
Anthus brevirostris;punapiplerke;Puna Pipit
Anthus chacoensis;chacopiplerke;Pampas Pipit
Anthus correndera;correnderapiplerke;Correndera Pipit
Anthus antarcticus;sørgeorgiapiplerke;South Georgia Pipit
Anthus nattereri;okerpiplerke;Ochre-breasted Pipit
Anthus hellmayri;pampaspiplerke;Hellmayr's Pipit
Anthus bogotensis;paramopiplerke;Paramo Pipit
Urocynchramus pylzowi;vierfink;Przevalski's Finch
Fringilla coelebs;bokfink;Eurasian Chaffinch
Fringilla spodiogenys;maghrebfink;African Chaffinch
Fringilla moreletti;asorfink;Azores Chaffinch
Fringilla maderensis;madeirafink;Madeira Chaffinch
Fringilla canariensis;kanarifink;Canary Islands Chaffinch
Fringilla teydea;tenerifeblåfink;Tenerife Blue Chaffinch
Fringilla polatzeki;grancanariablåfink;Gran Canaria Blue Chaffinch
Fringilla montifringilla;bjørkefink;Brambling
Mycerobas icterioides;pirolkjernebiter;Black-and-yellow Grosbeak
Mycerobas affinis;gullkjernebiter;Collared Grosbeak
Mycerobas melanozanthos;flekkjernebiter;Spot-winged Grosbeak
Mycerobas carnipes;einerkjernebiter;White-winged Grosbeak
Hesperiphona vespertina;gulbrynkjernebiter;Evening Grosbeak
Hesperiphona abeillei;tåkekjernebiter;Hooded Grosbeak
Coccothraustes coccothraustes;kjernebiter;Hawfinch
Eophona migratoria;orientkjernebiter;Chinese Grosbeak
Eophona personata;gråkjernebiter;Japanese Grosbeak
Pinicola enucleator;konglebit;Pine Grosbeak
Pyrrhula nipalensis;nymfedompap;Brown Bullfinch
Pyrrhula aurantiaca;oransjedompap;Orange Bullfinch
Pyrrhula erythrocephala;rustnakkedompap;Red-headed Bullfinch
Pyrrhula erythaca;mandarindompap;Grey-headed Bullfinch
Pyrrhula owstoni;grådompap;Taiwan Bullfinch
Pyrrhula leucogenis;hvitkinndompap;White-cheeked Bullfinch
Pyrrhula pyrrhula;dompap;Eurasian Bullfinch
Pyrrhula murina;asordompap;Azores Bullfinch
Rhodopechys sanguineus;rosenvingefink;Asian Crimson-winged Finch
Rhodopechys alienus;atlasfink;African Crimson-winged Finch
Bucanetes githagineus;trompetfink;Trumpeter Finch
Bucanetes mongolicus;steinfink;Mongolian Finch
Agraphospiza rubescens;rødfink;Blanford's Rosefinch
Callacanthis burtoni;sherpafink;Spectacled Finch
Pyrrhoplectes epauletta;gullnakkefink;Golden-naped Finch
Procarduelis nipalensis;magentafink;Dark-breasted Rosefinch
Leucosticte nemoricola;brunfjellfink;Plain Mountain Finch
Leucosticte brandti;sotfjellfink;Brandt's Mountain Finch
Leucosticte arctoa;koksfjellfink;Asian Rosy Finch
Leucosticte tephrocotis;grånakkefjellfink;Grey-crowned Rosy Finch
Leucosticte atrata;svartfjellfink;Black Rosy Finch
Leucosticte australis;koloradofjellfink;Brown-capped Rosy Finch
Carpodacus erythrinus;rosenfink;Common Rosefinch
Carpodacus sipahi;skarlagenfink;Scarlet Finch
Carpodacus ferreorostris;boninfink;Bonin Grosbeak
Carpodacus rubicilloides;skrentrosenfink;Streaked Rosefinch
Carpodacus rubicilla;fjellrosenfink;Great Rosefinch
Carpodacus grandis;karakoramrosenfink;Blyth's Rosefinch
Carpodacus rhodochlamys;sinoberfink;Red-mantled Rosefinch
Carpodacus pulcherrimus;ametystfink;Himalayan Beautiful Rosefinch
Carpodacus davidianus;mandarinrosenfink;Chinese Beautiful Rosefinch
Carpodacus waltoni;eosrosenfink;Pink-rumped Rosefinch
Carpodacus rodochroa;himalayarosenfink;Pink-browed Rosefinch
Carpodacus edwardsii;brunrosenfink;Dark-rumped Rosefinch
Carpodacus rodopeplus;flekkvingerosenfink;Spot-winged Rosefinch
Carpodacus verreauxii;yunnanrosenfink;Sharpe's Rosefinch
Carpodacus vinaceus;vinrosenfink;Vinaceous Rosefinch
Carpodacus formosanus;taiwanrosenfink;Taiwan Rosefinch
Carpodacus synoicus;ørkenrosenfink;Sinai Rosefinch
Carpodacus stoliczkae;blekrosenfink;Pale Rosefinch
Carpodacus roborowskii;gulnebbrosenfink;Tibetan Rosefinch
Carpodacus sillemi;hettefjellfink;Sillem's Rosefinch
Carpodacus sibiricus;langstjertfink;Siberian Long-tailed Rosefinch
Carpodacus lepidus;kirsebærfink;Chinese Long-tailed Rosefinch
Carpodacus roseus;karminfink;Pallas's Rosefinch
Carpodacus trifasciatus;blodrosenfink;Three-banded Rosefinch
Carpodacus thura;krattrosenfink;Himalayan White-browed Rosefinch
Carpodacus dubius;glennerosenfink;Chinese White-browed Rosefinch
Carpodacus puniceus;rubinfink;Red-fronted Rosefinch
Carpodacus subhimachalus;rododendronfink;Crimson-browed Finch
Melamprosops phaeosoma;haleakalafink;Poo-uli
Paroreomyza maculata;oahuklatrefink;Oahu Alauahio
Paroreomyza flammea;rødklatrefink;Kakawahie
Paroreomyza montana;mauiklatrefink;Maui Alauahio
Oreomystis bairdi;akikiki;Akikiki
Telespiza cantans;laysanfink;Laysan Finch
Telespiza ultima;nihoafink;Nihoa Finch
Loxioides bailleui;palila;Palila
Rhodacanthis flaviceps;småkoafink;Lesser Koa Finch
Rhodacanthis palmeri;storkoafink;Greater Koa Finch
Chloridops kona;konafink;Kona Grosbeak
Psittirostra psittacea;ou;Ou
Dysmorodrepanis munroi;lanaifink;Lanai Hookbill
Drepanis coccinea;iiwi;Iiwi
Drepanis pacifica;hawaiimamo;Hawaii Mamo
Drepanis funerea;svartmamo;Black Mamo
Ciridops anna;alohafink;Ula-ai-hawane
Palmeria dolei;karnevalsfink;Akohekohe
Himatione sanguinea;blodapapane;Apapane
Himatione fraithii;sinoberapapane;Laysan Honeycreeper
Viridonia sagittirostris;storamakihi;Greater Amakihi
Akialoa obscura;småakialoa;Lesser Akialoa
Akialoa ellisiana;oahuakialoa;Oahu Akialoa
Akialoa stejnegeri;kauaiakialoa;Kauai Akialoa
Akialoa lanaiensis;lanaiakialoa;Maui-nui Akialoa
Hemignathus lucidus;oahunukupuu;Oahu Nukupuu
Hemignathus hanapepe;kauainukupuu;Kauai Nukupuu
Hemignathus affinis;mauinukupuu;Maui Nukupuu
Hemignathus wilsoni;akiapolaau;Akiapolaau
Pseudonestor xanthophrys;papegøyefink;Maui Parrotbill
Magumma parva;anianiau;Anianiau
