SCI;NO;EN
Afropavo congensis;kongopåfugl;Congo Peafowl
Pavo cristatus;indiapåfugl;Indian Peafowl
Pavo muticus;smaragdpåfugl;Green Peafowl
Tropicoperdix chloropus;grønnbeinhøne;Green-legged Partridge
Tropicoperdix charltonii;rødørehøne;Chestnut-necklaced Partridge
Tropicoperdix graydoni;sabahhøne;Sabah Partridge
Haematortyx sanguiniceps;karminhodehøne;Crimson-headed Partridge
Galloperdix spadicea;rødsporehøne;Red Spurfowl
Galloperdix lunulata;perlesporehøne;Painted Spurfowl
Galloperdix bicalcarata;dråpesporehøne;Sri Lanka Spurfowl
Polyplectron napoleonis;påfuglfasan;Palawan Peacock-Pheasant
Polyplectron schleiermacheri;smaragdfasan;Bornean Peacock-Pheasant
Polyplectron malacense;malayfasan;Malayan Peacock-Pheasant
Polyplectron germaini;plettfasan;Germain's Peacock-Pheasant
Polyplectron katsumatae;hainanfasan;Hainan Peacock-Pheasant
Polyplectron bicalcaratum;filigransfasan;Grey Peacock-Pheasant
Polyplectron inopinatum;perlefasan;Mountain Peacock-Pheasant
Polyplectron chalcurum;brunfasan;Bronze-tailed Peacock-Pheasant
Bambusicola fytchii;burmabambushøne;Mountain Bamboo Partridge
Bambusicola thoracicus;kinabambushøne;Chinese Bamboo Partridge
Bambusicola sonorivox;taiwanbambushøne;Taiwan Bamboo Partridge
Gallus varius;paradishane;Green Junglefowl
Gallus gallus;bankivahane;Red Junglefowl
Gallus sonneratii;brokadehane;Grey Junglefowl
Gallus lafayettii;flammehane;Sri Lanka Junglefowl
Peliperdix lathami;skogfrankolin;Latham's Francolin
Ortygornis sephaena;krattfrankolin;Crested Francolin
Ortygornis pondicerianus;gråfrankolin;Grey Francolin
Ortygornis gularis;sumpfrankolin;Swamp Francolin
Francolinus pintadeanus;perlefrankolin;Chinese Francolin
Francolinus francolinus;halsbåndfrankolin;Black Francolin
Francolinus pictus;hindufrankolin;Painted Francolin
Campocolinus coqui;kokifrankolin;Coqui Francolin
Campocolinus albogularis;hvitstrupefrankolin;White-throated Francolin
Campocolinus schlegelii;isoberiniafrankolin;Schlegel's Francolin
Scleroptila streptophora;kragefrankolin;Ring-necked Francolin
Scleroptila levaillantii;rødvingefrankolin;Red-winged Francolin
Scleroptila finschi;cuanzafrankolin;Finsch's Francolin
Scleroptila psilolaema;lyngfrankolin;Moorland Francolin
Scleroptila elgonensis;kastanjebrystfrankolin;Elgon Francolin
Scleroptila afra;gråvingefrankolin;Grey-winged Francolin
Scleroptila gutturalis;gressfrankolin;Orange River Francolin
Scleroptila shelleyi;miombofrankolin;Shelley's Francolin
Scleroptila whytei;zambiafrankolin;Whyte's Francolin
Tetraogallus tibetanus;tibethøne;Tibetan Snowcock
Tetraogallus altaicus;altaihøne;Altai Snowcock
Tetraogallus caucasicus;kaukasushøne;Caucasian Snowcock
Tetraogallus caspius;kurdistanhøne;Caspian Snowcock
Tetraogallus himalayensis;himalayahøne;Himalayan Snowcock
Ammoperdix griseogularis;sisihøne;See-see Partridge
Ammoperdix heyi;beduinhøne;Sand Partridge
Synoicus ypsilophorus;sumpvaktel;Brown Quail
Synoicus monorthonyx;kjempevaktel;Snow Mountain Quail
Synoicus chinensis;asiablåvaktel;King Quail
